age,campaign,previous,duration,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_code,marital_code,education_code,housing_code,loan_code,contact_code,poutcome_code,day_of_week_code,month_code
40,5,0,824,1.4,93.91799999999999,-42.7,4.96,5228.1,1,2,2,2,0,0,1,1,3
39,1,1,640,-0.1,93.2,-42.0,4.12,5195.8,10,1,2,2,0,0,0,4,7
30,1,0,39,-1.8,92.89299999999999,-46.2,1.344,5099.1,9,2,6,0,2,0,1,3,6
37,2,0,337,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,0,1,1,1,6
34,2,0,200,1.1,93.994,-36.4,4.86,5191.0,4,1,6,0,0,1,1,2,6
50,1,0,300,1.4,94.465,-41.8,4.962,5228.1,4,1,6,2,0,1,1,4,4
41,2,0,203,1.4,94.465,-41.8,4.961,5228.1,1,1,2,0,0,1,1,2,4
58,2,0,328,1.1,93.994,-36.4,4.857,5191.0,0,1,7,2,0,1,1,3,6
74,1,0,298,-2.9,92.20100000000001,-31.4,0.879,5076.2,5,1,5,0,0,0,1,4,1
50,1,0,86,1.4,94.465,-41.8,4.8660000000000005,5228.1,3,1,7,2,0,1,1,2,4
36,4,0,145,1.1,93.994,-36.4,4.857,5191.0,1,1,1,2,0,1,1,1,6
36,3,0,255,-0.1,93.2,-42.0,4.1530000000000005,5195.8,9,1,3,0,0,0,1,3,7
30,1,1,132,-1.8,92.89299999999999,-46.2,1.244,5099.1,7,1,6,1,1,0,0,1,6
35,1,1,229,-1.8,93.075,-47.1,1.445,5099.1,9,0,5,2,0,0,0,4,0
59,10,0,429,1.1,93.994,-36.4,4.857,5191.0,2,1,2,2,2,1,1,4,6
33,3,0,227,1.1,93.994,-36.4,4.8580000000000005,5191.0,7,1,3,0,0,1,1,4,6
48,1,0,493,1.4,94.465,-41.8,4.959,5228.1,1,1,0,2,0,1,1,0,4
35,3,0,431,1.4,93.91799999999999,-42.7,4.963,5228.1,0,2,2,2,0,0,1,0,3
40,2,1,262,-2.9,92.20100000000001,-31.4,0.851,5076.2,0,0,3,2,0,0,0,2,1
36,2,0,90,1.1,93.994,-36.4,4.855,5191.0,0,1,3,0,0,1,1,2,6
48,1,0,84,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1,1,0,2,0,0,1,3,7
31,1,0,154,-0.1,93.79799999999999,-40.4,4.86,5195.8,1,1,1,2,0,1,1,3,8
48,4,0,97,1.4,93.91799999999999,-42.7,4.962,5228.1,9,1,3,2,0,0,1,3,3
34,1,0,467,1.4,93.91799999999999,-42.7,4.963,5228.1,8,0,1,2,0,0,1,2,3
48,1,0,250,1.4,93.91799999999999,-42.7,4.96,5228.1,1,1,1,2,2,0,1,1,3
48,2,0,1096,1.4,93.91799999999999,-42.7,4.962,5228.1,9,1,7,2,0,0,1,1,3
32,1,0,184,1.4,93.91799999999999,-42.7,4.963,5228.1,9,2,6,2,0,0,1,2,3
32,3,0,157,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,1,6,2,0,0,1,4,1
34,1,0,132,1.4,93.91799999999999,-42.7,4.961,5228.1,3,1,6,0,0,0,1,3,3
33,1,0,113,1.4,94.465,-41.8,4.967,5228.1,1,1,1,0,0,1,1,0,4
40,2,0,267,-0.1,93.2,-42.0,4.12,5195.8,0,2,6,0,0,0,1,4,7
21,1,0,203,-2.9,92.469,-33.6,1.0590000000000002,5076.2,10,2,3,2,0,0,1,0,3
24,1,0,530,-1.7,94.055,-39.8,0.7290000000000001,4991.6,8,2,3,2,0,0,1,2,4
25,2,1,712,-1.1,94.76700000000001,-50.8,1.04,4963.6,9,2,5,2,0,0,2,0,7
26,2,0,73,1.1,93.994,-36.4,4.856,5191.0,1,1,2,0,0,1,1,4,6
36,1,0,187,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,6,2,0,0,1,2,3
38,1,0,98,1.4,93.444,-36.1,4.9639999999999995,5228.1,9,1,5,2,0,0,1,2,1
32,3,0,428,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,9,1,3,0,0,0,1,0,6
41,4,0,85,1.4,94.465,-41.8,4.961,5228.1,1,0,2,0,0,1,1,1,4
