age,pdays,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_code,marital_code,education_code,housing_code,loan_code,contact_code,poutcome_code,day_of_week_code,month_code
57,999,1,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,9,1,3,0,2,0,0,1,6
55,999,2,0,1.1,93.994,-36.4,4.86,5191.0,11,1,7,2,0,1,1,2,6
33,999,1,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,1,1,2,0,0,0,0,0,6
36,999,4,0,1.4,94.465,-41.8,4.967,5228.1,0,1,3,0,0,1,1,0,4
27,999,2,0,1.4,93.91799999999999,-42.7,4.963,5228.1,3,1,3,2,0,0,1,0,3
58,999,1,0,1.4,93.91799999999999,-42.7,4.962,5228.1,5,1,5,2,2,0,1,0,3
48,999,1,0,1.1,93.994,-36.4,4.856,5191.0,7,1,3,2,0,1,1,4,6
51,999,7,0,1.4,93.444,-36.1,4.962,5228.1,0,0,6,2,0,0,1,2,1
24,999,4,0,1.4,94.465,-41.8,4.962,5228.1,2,1,6,2,2,1,1,4,4
36,999,4,0,1.4,93.91799999999999,-42.7,4.962,5228.1,9,0,5,2,2,0,1,1,3
34,999,3,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,1,1,2,0,0,0,1,0,6
42,999,3,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,1,2,0,2,0,0,1,2,6
43,999,1,0,1.4,93.91799999999999,-42.7,4.963,5228.1,1,2,2,2,0,0,1,2,3
56,999,3,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,1,6,0,0,0,1,4,1
58,999,3,0,1.4,93.91799999999999,-42.7,4.962,5228.1,1,1,0,0,2,0,1,2,3
36,999,1,0,1.4,94.465,-41.8,4.865,5228.1,3,1,3,2,0,1,1,1,4
26,999,2,0,1.4,93.91799999999999,-42.7,4.963,5228.1,1,2,2,2,0,0,1,0,3
53,999,11,0,1.4,93.91799999999999,-42.7,4.961,5228.1,9,1,5,0,2,0,1,3,3
37,999,2,0,1.4,93.91799999999999,-42.7,4.957,5228.1,2,2,5,2,0,0,1,0,3
46,999,1,1,-2.9,92.20100000000001,-31.4,0.873,5076.2,0,1,6,2,0,0,0,2,1
59,999,3,0,1.4,93.91799999999999,-42.7,4.962,5228.1,5,1,2,0,0,0,1,0,3
49,999,2,0,1.1,93.994,-36.4,4.855,5191.0,10,2,5,0,0,1,1,0,6
26,999,15,0,1.4,94.465,-41.8,4.864,5228.1,11,2,3,2,2,1,1,4,4
