age,default,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_code,marital_code,education_code,housing_code,loan_code,contact_code,poutcome_code,day_of_week_code,month_code,subscribed
56,no,261,1,0,1.1,93.994,-36.4,4.857,5191.0,3,1,0,0,0,1,1,1,6,0
57,unknown,149,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,1,1,1,6,0
37,no,226,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,2,0,1,1,1,6,0
40,no,151,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,1,0,0,1,1,1,6,0
56,no,307,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,2,1,1,1,6,0
45,unknown,198,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,2,0,0,1,1,1,6,0
59,no,139,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,5,0,0,1,1,1,6,0
41,unknown,217,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,0,0,1,1,1,6,0
24,no,380,1,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,2,0,1,1,1,6,0
25,no,50,1,0,1.1,93.994,-36.4,4.857,5191.0,7,2,3,2,0,1,1,1,6,0
41,unknown,55,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,0,0,1,1,1,6,0
25,no,222,1,0,1.1,93.994,-36.4,4.857,5191.0,7,2,3,2,0,1,1,1,6,0
29,no,137,1,0,1.1,93.994,-36.4,4.857,5191.0,1,2,3,0,2,1,1,1,6,0
57,no,293,1,0,1.1,93.994,-36.4,4.857,5191.0,3,0,0,2,0,1,1,1,6,0
35,no,146,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,2,0,1,1,1,6,0
54,unknown,174,1,0,1.1,93.994,-36.4,4.857,5191.0,5,1,2,2,2,1,1,1,6,0
35,no,312,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,2,0,1,1,1,6,0
46,unknown,440,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,2,2,1,1,1,6,0
50,no,353,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,2,1,1,1,6,0
39,unknown,195,1,0,1.1,93.994,-36.4,4.857,5191.0,4,2,2,0,0,1,1,1,6,0
30,no,38,1,0,1.1,93.994,-36.4,4.857,5191.0,10,1,3,0,0,1,1,1,6,0
55,unknown,262,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,2,0,1,1,1,6,0
55,no,342,1,0,1.1,93.994,-36.4,4.857,5191.0,5,2,3,2,0,1,1,1,6,0
41,no,181,1,0,1.1,93.994,-36.4,4.857,5191.0,9,2,3,2,0,1,1,1,6,0
37,no,172,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,2,0,1,1,1,6,0
35,no,99,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,6,0,2,1,1,1,6,0
59,no,93,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,7,2,0,1,1,1,6,0
39,unknown,233,1,0,1.1,93.994,-36.4,4.857,5191.0,6,1,2,0,0,1,1,1,6,0
54,unknown,255,2,0,1.1,93.994,-36.4,4.857,5191.0,9,2,6,0,0,1,1,1,6,0
55,unknown,362,1,0,1.1,93.994,-36.4,4.857,5191.0,11,1,6,1,1,1,1,1,6,0
46,no,348,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,7,0,0,1,1,1,6,0
59,no,386,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,7,2,0,1,1,1,6,0
49,no,73,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,0,0,1,1,1,6,0
54,unknown,230,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,0,2,0,1,1,1,6,0
54,no,208,1,0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,0,0,1,1,1,6,0
55,unknown,336,1,0,1.1,93.994,-36.4,4.857,5191.0,11,1,0,2,0,1,1,1,6,0
34,no,365,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,1,1,1,6,0
52,no,1666,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,2,2,0,1,1,1,6,0
41,no,577,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,0,1,1,1,6,0
56,no,137,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,0,2,0,1,1,1,6,0
58,no,366,1,0,1.1,93.994,-36.4,4.857,5191.0,4,3,6,2,0,1,1,1,6,0
32,no,314,1,0,1.1,93.994,-36.4,4.857,5191.0,2,1,3,2,0,1,1,1,6,0
38,no,160,1,0,1.1,93.994,-36.4,4.857,5191.0,0,2,5,0,0,1,1,1,6,0
57,no,212,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,2,1,1,1,6,0
44,unknown,188,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,0,1,1,1,6,0
42,unknown,22,1,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,0,0,1,1,1,6,0
57,no,616,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,2,1,1,1,6,0
40,no,178,1,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,2,1,1,1,6,0
35,no,355,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,2,0,1,1,1,6,0
45,no,225,2,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,2,0,1,1,1,6,0
54,no,160,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,1,1,1,6,0
39,no,266,1,0,1.1,93.994,-36.4,4.857,5191.0,3,1,0,0,2,1,1,1,6,0
60,no,253,1,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,1,1,1,6,0
53,no,179,1,0,1.1,93.994,-36.4,4.857,5191.0,0,2,5,0,0,1,1,1,6,0
55,unknown,269,2,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,0,1,1,1,6,0
55,unknown,135,1,0,1.1,93.994,-36.4,4.857,5191.0,9,1,5,2,0,1,1,1,6,0
50,unknown,161,1,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,2,1,1,1,6,0
45,unknown,787,1,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,2,0,1,1,1,6,0
55,unknown,145,1,0,1.1,93.994,-36.4,4.857,5191.0,10,1,5,2,2,1,1,1,6,0
